Chiave,valore
id_azienda,61
id_prodotto,14
importo,104293.49
iva,22944.57
id_azienda,16
id_prodotto,16
importo,95307.37
iva,20967.62
id_azienda,1
id_prodotto,19
importo,95120.38
iva,20926.48
id_azienda,61
id_prodotto,14
importo,94812.26
iva,0
id_azienda,92
id_prodotto,13
importo,93183.2
iva,20500.3
id_azienda,18
id_prodotto,18
importo,90051.92
iva,19811.42
id_azienda,36
id_prodotto,10
importo,89100.35
iva,19602.08
id_azienda,16
id_prodotto,16
importo,86643.06
iva,0
id_azienda,1
id_prodotto,19
importo,86473.07
iva,0
id_azienda,7
id_prodotto,11
importo,85634.89
iva,18839.68
id_azienda,92
id_prodotto,13
importo,84712.0
iva,0
id_azienda,18
id_prodotto,18
importo,81865.38
iva,0
id_azienda,36
id_prodotto,10
importo,81000.32
iva,0
id_azienda,19
id_prodotto,2
importo,78567.91
iva,17284.94
id_azienda,7
id_prodotto,11
importo,77849.9
iva,0
id_azienda,15
id_prodotto,6
importo,76551.79
iva,16841.39
id_azienda,94
id_prodotto,3
importo,74882.66
iva,16474.19
id_azienda,70
id_prodotto,16
importo,72287.84
iva,15903.32
id_azienda,19
id_prodotto,2
importo,71425.37
iva,0
id_azienda,15
id_prodotto,6
importo,69592.54
iva,0
id_azienda,94
id_prodotto,3
importo,68075.15
iva,0
id_azienda,70
id_prodotto,16
importo,65716.22
iva,0
id_azienda,78
id_prodotto,18
importo,61373.48
iva,13502.17
id_azienda,34
id_prodotto,6
importo,60851.67
iva,13387.37
id_azienda,88
id_prodotto,15
importo,58537.89
iva,12878.34
id_azienda,78
id_prodotto,18
importo,55794.07
iva,0
id_azienda,34
id_prodotto,6
importo,55319.7
iva,0
id_azienda,88
id_prodotto,15
importo,53216.26
iva,0
id_azienda,82
id_prodotto,19
importo,53039.25
iva,11668.64
id_azienda,82
id_prodotto,19
importo,53039.25
iva,11668.64
id_azienda,27
id_prodotto,1
importo,53030.3
iva,11666.67
id_azienda,52
id_prodotto,11
importo,50875.98
iva,11192.72
id_azienda,62
id_prodotto,4
importo,49618.55
iva,10916.08
id_azienda,82
id_prodotto,19
importo,48217.5
iva,0
id_azienda,27
id_prodotto,1
importo,48209.36
iva,0
id_azienda,52
id_prodotto,11
importo,46250.89
iva,0
id_azienda,15
id_prodotto,3
importo,46071.78
iva,10135.79
id_azienda,62
id_prodotto,4
importo,45107.77
iva,0
id_azienda,27
id_prodotto,7
importo,42556.02
iva,9362.32
id_azienda,15
id_prodotto,3
importo,41883.44
iva,0
id_azienda,16
id_prodotto,14
importo,39403.35
iva,8668.74
id_azienda,27
id_prodotto,7
importo,38687.29
iva,0
id_azienda,59
id_prodotto,12
importo,36142.02
iva,7951.24
id_azienda,16
id_prodotto,14
importo,35821.23
iva,0
id_azienda,91
id_prodotto,13
importo,35626.28
